券種,買い目,odds,id
3連複,1-3-6,3100,20230910_中山_結果_10
3連複,2-3-10,9260,20230910_中山_結果_11
3連複,5-9-10,2590,20230910_中山_結果_12
3連複,2-7-10,2260,20230910_阪神_結果_1
3連複,2-3-6,1300,20230910_阪神_結果_2
3連複,1-4-6,940,20230910_阪神_結果_3
3連複,5-8-10,1530,20230910_阪神_結果_4
3連複,3-4-7,5630,20230910_阪神_結果_5
3連複,2-7-11,1250,20230910_阪神_結果_6
3連複,7-11-12,2950,20230910_阪神_結果_7
3連複,1-2-3,1400,20230910_阪神_結果_8
3連複,1-6-7,1650,20230910_阪神_結果_9
3連複,6-9-11,16400,20230910_阪神_結果_10
3連複,8-11-14,93130,20230910_阪神_結果_11
3連複,3-4-10,2140,20230910_阪神_結果_12
3連複,3-11-13,5920,20230916_中山_結果_1
3連複,5-8-11,14260,20230916_中山_結果_2
3連複,2-9-10,2490,20230916_中山_結果_3
3連複,3-4-10,49860,20230916_中山_結果_4
3連複,6-7-9,390,20230916_中山_結果_5
3連複,1-9-12,25470,20230916_中山_結果_6
3連複,4-6-9,1680,20230916_中山_結果_7
3連複,3-6-8,25990,20230916_中山_結果_8
3連複,10-15-16,1860,20230916_中山_結果_9
3連複,4-7-9,1630,20230916_中山_結果_10
3連複,2-8-10,5880,20230916_中山_結果_11
3連複,4-5-8,27700,20230916_中山_結果_12
3連複,1-5-9,900,20230916_阪神_結果_1
3連複,1-10-13,3160,20230916_阪神_結果_2
3連複,4-8-9,7360,20230916_阪神_結果_3
3連複,1-6-14,32630,20230916_阪神_結果_4
3連複,2-3-6,1570,20230916_阪神_結果_5
3連複,8-9-10,12410,20230916_阪神_結果_6
3連複,5-7-10,2380,20230916_阪神_結果_7
3連複,1-2-11,2760,20230916_阪神_結果_8
3連複,4-5-6,1480,20230916_阪神_結果_9
3連複,5-10-13,61060,20230916_阪神_結果_10
3連複,1-6-9,13960,20230916_阪神_結果_11
3連複,5-6-13,720,20230916_阪神_結果_12
3連複,6-7-8,4500,20230917_中山_結果_1
3連複,1-2-7,1030,20230917_中山_結果_2
3連複,4-7-8,760,20230917_中山_結果_3
3連複,3-5-13,4990,20230917_中山_結果_4
3連複,2-11-13,3470,20230917_中山_結果_5
3連複,2-6-12,1990,20230917_中山_結果_6
3連複,2-6-7,20840,20230917_中山_結果_7
3連複,1-2-5,4770,20230917_中山_結果_8
3連複,2-4-8,111790,20230917_中山_結果_9
3連複,2-5-6,13600,20230917_中山_結果_10
3連複,4-6-12,1460,20230917_中山_結果_11
3連複,6-7-15,8620,20230917_中山_結果_12
3連複,2-4-7,760,20230917_阪神_結果_1
3連複,5-7-10,9680,20230917_阪神_結果_2
3連複,1-2-7,3080,20230917_阪神_結果_3
3連複,2-3-4,600,20230917_阪神_結果_4
3連複,2-4-7,1660,20230917_阪神_結果_5
3連複,4-9-10,15890,20230917_阪神_結果_6
3連複,11-12-13,17330,20230917_阪神_結果_7
3連複,3-7-8,336870,20230917_阪神_結果_8
3連複,3-4-7,4410,20230917_阪神_結果_9
3連複,2-6-8,3090,20230917_阪神_結果_10
3連複,5-10-12,8450,20230917_阪神_結果_11
3連複,5-12-16,4110,20230917_阪神_結果_12
3連複,1-2-8,950,20230918_中山_結果_1
3連複,3-6-14,9200,20230918_中山_結果_2
3連複,7-9-10,1480,20230918_中山_結果_3
3連複,2-6-8,2150,20230918_中山_結果_4
3連複,1-8-11,6870,20230918_中山_結果_5
3連複,2-5-7,910,20230918_中山_結果_6
3連複,9-11-12,79250,20230918_中山_結果_7
3連複,3-8-9,530,20230918_中山_結果_8
3連複,5-15-16,35990,20230918_中山_結果_9
3連複,6-9-10,2620,20230918_中山_結果_10
3連複,4-6-14,860,20230918_中山_結果_11
3連複,4-9-16,12620,20230918_中山_結果_12
3連複,3-10-11,13720,20230918_阪神_結果_1
3連複,1-2-5,2560,20230918_阪神_結果_2
3連複,3-5-11,1950,20230918_阪神_結果_3
3連複,1-5-7,5330,20230918_阪神_結果_4
3連複,1-5-6,1270,20230918_阪神_結果_5
3連複,10-12-16,11230,20230918_阪神_結果_6
3連複,1-6-10,650,20230918_阪神_結果_7
3連複,7-8-13,3190,20230918_阪神_結果_8
3連複,3-5-13,28140,20230918_阪神_結果_9
3連複,2-6-8,1790,20230918_阪神_結果_10
3連複,9-10-12,13700,20230918_阪神_結果_11
3連複,9-10-13,9580,20230918_阪神_結果_12
3連複,1-4-12,2010,20230923_中山_結果_1
3連複,7-11-15,18660,20230923_中山_結果_2
3連複,1-9-14,50570,20230923_中山_結果_3
3連複,3-6-14,66340,20230923_中山_結果_4
3連複,1-12-15,13480,20230923_中山_結果_5
3連複,4-5-10,4800,20230923_中山_結果_6
3連複,3-4-5,5590,20230923_中山_結果_7
3連複,2-5-7,1230,20230923_中山_結果_8
3連複,3-6-8,4380,20230923_中山_結果_9
3連複,3-6-9,1380,20230923_中山_結果_10
